Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03,209.0,209.5500030517578,206.13999938964844,207.4600067138672,206.29510498046875,721500
2022-01-04,209.07000732421875,212.4600067138672,208.2100067138672,212.0500030517578,210.8593292236328,1129400
2022-01-05,212.77000427246094,214.42999267578125,210.02999877929688,210.30999755859375,209.12908935546875,876500
2022-01-06,212.52999877929688,214.0399932861328,210.1300048828125,211.74000549316406,210.5510711669922,864100
2022-01-07,212.57000732421875,213.8699951171875,211.6699981689453,212.08999633789062,210.8990936279297,1408500
2022-01-10,212.60000610351562,214.6999969482422,209.5,210.61000061035156,209.4274139404297,1235300
2022-01-11,210.61000061035156,211.75999450683594,209.42999267578125,211.5800018310547,210.3919677734375,1021700
2022-01-12,212.0,212.6999969482422,210.6300048828125,211.92999267578125,210.739990234375,968700
2022-01-13,211.41000366210938,213.1199951171875,210.39999389648438,211.3699951171875,211.3699951171875,766500
2022-01-14,210.4600067138672,213.6199951171875,209.52000427246094,213.10000610351562,213.10000610351562,1111000
2022-01-18,212.1300048828125,212.5,208.97000122070312,211.16000366210938,211.16000366210938,1104800
2022-01-19,211.1300048828125,213.44000244140625,210.36000061035156,210.36000061035156,210.36000061035156,826800
2022-01-20,210.47000122070312,212.9600067138672,208.47999572753906,208.97999572753906,208.97999572753906,933100
2022-01-21,209.25999450683594,210.89999389648438,206.32000732421875,206.5399932861328,206.5399932861328,1237200
2022-01-24,204.44000244140625,207.55999755859375,200.64999389648438,207.0800018310547,207.0800018310547,1464200
2022-01-25,205.0,206.83999633789062,200.94000244140625,205.9600067138672,205.9600067138672,1765900
2022-01-26,204.1699981689453,210.14999389648438,200.7899932861328,204.9199981689453,204.9199981689453,1988400
2022-01-27,205.0800018310547,211.6300048828125,205.0800018310547,208.8000030517578,208.8000030517578,2402800
2022-01-28,209.83999633789062,213.0,206.24000549316406,212.82000732421875,212.82000732421875,1500400
2022-01-31,210.4600067138672,212.6199951171875,208.3800048828125,212.10000610351562,212.10000610351562,1566400
2022-02-01,212.19000244140625,213.61000061035156,209.75,212.8699951171875,212.8699951171875,1371700
2022-02-02,212.3000030517578,214.4499969482422,210.60000610351562,214.0800018310547,214.0800018310547,1888600
2022-02-03,207.83999633789062,213.25,207.83999633789062,212.1699981689453,212.1699981689453,1380700
2022-02-04,213.50999450683594,216.2100067138672,210.77999877929688,212.2899932861328,212.2899932861328,1462300
2022-02-07,213.27999877929688,213.92999267578125,211.58999633789062,212.1199951171875,212.1199951171875,1045400
2022-02-08,213.36000061035156,215.07000732421875,211.8800048828125,214.4600067138672,214.4600067138672,1064500
2022-02-09,215.72000122070312,216.1699981689453,214.5,215.44000244140625,215.44000244140625,1037700
2022-02-10,213.75,215.7899932861328,210.30999755859375,211.52000427246094,211.52000427246094,1102200
2022-02-11,211.63999938964844,214.94000244140625,210.86000061035156,213.75999450683594,213.75999450683594,1206200
2022-02-14,213.75,214.63999938964844,210.02999877929688,211.1699981689453,211.1699981689453,1227500
2022-02-15,211.97999572753906,214.1699981689453,211.0,212.77000427246094,212.77000427246094,690100
2022-02-16,212.67999267578125,215.32000732421875,212.52000427246094,214.41000366210938,214.41000366210938,814100
2022-02-17,213.72999572753906,215.5500030517578,212.24000549316406,214.39999389648438,214.39999389648438,1014300
2022-02-18,213.8300018310547,218.60000610351562,213.8300018310547,215.82000732421875,215.82000732421875,1609000
2022-02-22,220.0,220.10000610351562,215.1300048828125,216.82000732421875,216.82000732421875,2170000
2022-02-23,218.05999755859375,218.8800048828125,215.80999755859375,216.27000427246094,216.27000427246094,1744300
2022-02-24,216.7899932861328,218.94000244140625,211.41000366210938,218.52999877929688,218.52999877929688,2062700
2022-02-25,218.55999755859375,228.1999969482422,218.55999755859375,227.97999572753906,227.97999572753906,1979400
2022-02-28,229.58999633789062,234.99000549316406,229.13999938964844,234.4499969482422,234.4499969482422,3284600
2022-03-01,235.0,237.02999877929688,232.10000610351562,233.32000732421875,233.32000732421875,2082500
2022-03-02,235.0,236.63999938964844,229.16000366210938,235.75,235.75,2780300
2022-03-03,236.77999877929688,239.75999450683594,236.1699981689453,238.1300048828125,238.1300048828125,1875300
2022-03-04,236.10000610351562,245.55999755859375,235.05999755859375,245.2899932861328,245.2899932861328,3300500
2022-03-07,245.50999450683594,254.99000549316406,245.47999572753906,247.2899932861328,247.2899932861328,4791800
2022-03-08,247.3800048828125,247.86000061035156,235.25,235.30999755859375,235.30999755859375,2769800
2022-03-09,234.97999572753906,238.4199981689453,231.6199951171875,236.80999755859375,236.80999755859375,2425400
2022-03-10,235.99000549316406,238.80999755859375,234.33999633789062,235.52000427246094,235.52000427246094,1576800
2022-03-11,235.8000030517578,238.9499969482422,232.3800048828125,232.47999572753906,232.47999572753906,1804900
2022-03-14,234.35000610351562,235.60000610351562,230.47000122070312,233.8300018310547,233.8300018310547,1379600
2022-03-15,235.4499969482422,238.41000366210938,233.4199981689453,237.6199951171875,237.6199951171875,1145800
2022-03-16,234.44000244140625,236.3699951171875,224.3800048828125,227.69000244140625,227.69000244140625,2457600
